Species_cluster,Region,Number_sequences
SC01,East_Asia,85
SC01,Eastern_North_America,3
SC01,Europe,38
SC01,Hawaii,1
SC01,India,1
SC01,Subsaharan_Africa,2
SC01,Western_North_America,8
SC02,Central_America,1
SC02,East_Asia,36
SC02,Eastern_North_America,18
SC02,Europe,42
SC02,West_Asia,1
SC02,Western_North_America,116
SC03,Temperate_South_America,215
SC04,East_Asia,186
SC04,Eastern_North_America,3
SC04,Europe,26
SC04,West_Asia,2
SC04,Western_North_America,12
SC05,East_Asia,47
SC05,Europe,23
SC05,Western_North_America,1
SC06,East_Asia,63
SC07,East_Asia,1
SC07,Europe,46
SC07,Subsaharan_Africa,4
SC07,West_Asia,2
SC08,Central_America,4
SC08,Eastern_North_America,31
SC08,Europe,6
SC08,Western_North_America,1
SC09,East_Asia,19
SC09,Eastern_North_America,11
SC09,Europe,4
SC10,Temperate_South_America,33
SC11,East_Asia,14
SC11,Europe,13
SC12,East_Asia,20
SC12,Subsaharan_Africa,3
SC12,Temperate_South_America,1
SC13,Temperate_South_America,26
SC14,Subsaharan_Africa,26
SC15,Subsaharan_Africa,24
SC16,East_Asia,20
SC17,Temperate_South_America,19
SC18,New_Zealand,18
SC19,Eastern_North_America,17
SC20,East_Asia,7
SC20,Western_North_America,7
SC21,East_Asia,16
SC22,East_Asia,6
SC22,Europe,6
SC23,Australia,15
SC24,Australia,1
SC24,New_Zealand,14
SC25,Europe,14
SC26,Temperate_South_America,14
SC27,Eastern_North_America,14
SC28,Temperate_South_America,11
SC29,Australia,3
SC29,New_Zealand,7
SC30,Australia,9
SC30,New_Zealand,2
SC31,Eastern_North_America,2
SC31,Western_North_America,8
SC32,Australia,11
SC33,Central_America,10
SC34,Western_North_America,9
SC35,New_Zealand,8
SC36,Australia,4
SC37,East_Asia,2
SC37,Eastern_North_America,1
SC37,Europe,2
SC38,Europe,6
SC39,East_Asia,2
SC40,East_Asia,3
SC40,India,1
SC41,Eastern_North_America,3
SC42,New_Zealand,4
SC43,Australia,4
SC44,New_Zealand,4
SC45,Western_North_America,4
SC46,East_Asia,2
SC46,Western_North_America,1
SC47,Eastern_North_America,2
SC48,Eastern_North_America,3
SC49,Eastern_North_America,3
SC50,Southeast_Asia,3
SC51,Temperate_South_America,2
SC51,Tropical_South_America,1
SC52,Western_North_America,2
SC53,Western_North_America,2
SC54,Central_America,1
SC54,Western_North_America,1
SC55,Central_America,2
SC56,New_Zealand,2
SC57,East_Asia,2
SC58,Tropical_South_America,7
SC59,Tropical_South_America,2
SC60,Eastern_North_America,1
SC61,Tropical_South_America,1
