,Australia,Central_America,East_Asia,Eastern_North_America,Europe,Hawaii,India,New_Zealand,Southeast_Asia,Subsaharan_Africa,Temperate_South_America,Tropical_South_America,West_Asia,Western_North_America
Australia,,,,,,,,,,,,,,
Central_America,0,,,,,,,,,,,,,
East_Asia,0,1,,,,,,,,,,,,
Eastern_North_America,0,1,3,,,,,,,,,,,
Europe,0,1,7,3,,,,,,,,,,
Hawaii,0,1,1,2,2,,,,,,,,,
India,0,0,0,0,0,0,,,,,,,,
New_Zealand,1,0,0,0,0,0,0,,,,,,,
Southeast_Asia,0,0,0,0,0,0,0,0,,,,,,
Subsaharan_Africa,0,1,3,1,2,1,0,0,0,,,,,
Temperate_South_America,0,0,2,0,1,0,1,0,0,1,,,,
Tropical_South_America,0,1,0,0,0,0,0,0,0,0,0,,,
West_Asia,0,0,2,1,2,0,0,0,0,1,0,0,,
Western_North_America,0,1,3,2,3,1,0,0,0,2,0,0,2,
